ID,Category,Title,Objective,When to use,Inputs,Prompt,Output format,Tip,Pairs with
SET-01,Setup & Foundations,Business brief builder,Create a one-page description of your business that you reuse as context in every other prompt.,Do this once when you start using AI for client admin; update it when your services or policies change.,None: the AI interviews you,"Help me write a one-page ""business brief"" I can give an AI assistant before asking for help with client admin. Interview me with one question at a time (wait for each answer) covering: what I do and for whom; my 2–4 core services and typical project size; how I like to work (communication hours, response times, meeting preferences); my payment terms and policies; phrases or promises I never want used; and three examples of great client outcomes (described generally, no client names). When we're done, output the brief in this format: ## Who I am, ## Services, ## Ideal clients, ## How I work, ## Policies, ## Tone and words to avoid. Keep it under 450 words.","A Markdown document with six headed sections, under 450 words.","Save the result in your assistant's custom instructions or project knowledge, or paste it at the start of each chat.","SET-02, SET-04"
SET-02,Setup & Foundations,Voice profile from writing samples,"Capture how you write so AI drafts sound like you, not like a generic assistant.",After the business brief; refresh every few months.,"[NUMBER]: how many samples you're providing (3–5) | [PASTE 3–5 REDACTED EMAILS]: emails you're happy with, names removed","Below are [NUMBER] emails I wrote to clients (names removed). Analyze my writing style and produce a ""voice profile"" I can reuse in future prompts. Include: typical sentence length; greeting and sign-off habits; level of formality (1–5); words and phrases I use often; things I never do (e.g., exclamation marks, emojis, corporate phrases); how I deliver bad news; and 3 short ""do this / not that"" examples. Keep it under 250 words and don't invent traits that aren't in the samples.
""""""[PASTE 3–5 REDACTED EMAILS]""""""",A short profile (≤250 words) with bullet points and 3 do/don't examples.,"Choose emails that cover different situations (good news, a delay, a follow-up) so the profile is well-rounded.",SET-01
SET-03,Setup & Foundations,Redaction check before pasting,Catch client names and sensitive details before you share text with an AI tool.,"While you're building the redaction habit, or on long documents such as transcripts and threads.",[PASTE TEXT]: the text you plan to use,"I'm about to paste text into an AI assistant. Act as a careful privacy reviewer. Scan the text between the triple quotes and list every item that could identify a person or company or expose sensitive data (names, emails, phone numbers, addresses, account numbers, prices tied to named clients, health/legal/HR details, passwords or links with tokens). Then return a redacted version that replaces each item with a clear placeholder like [CLIENT NAME] or [INVOICE AMOUNT]. Don't change anything else.
""""""[PASTE TEXT]""""""",1) A bulleted list of sensitive items found. 2) The full redacted text.,"Running this inside the same assistant means the text has already been shared, so use it on text you've already partly redacted, or on non-confidential material while you learn.",SET-01
SET-04,Setup & Foundations,Custom instructions writer,Turn your business brief and voice profile into compact standing instructions for your AI assistant.,"When your assistant has a ""custom instructions"", ""project instructions"" or ""personalization"" field with a character limit.","[BUSINESS BRIEF] | [VOICE PROFILE] | [CHARACTER LIMIT]: e.g., 1,500 characters","Using my business brief and voice profile below, write standing instructions for my AI assistant in under [CHARACTER LIMIT] characters. Split them into two parts: (1) ""What you should know about me"" (business facts, services, policies) and (2) ""How you should respond"" (tone, format preferences, rules). Always include these rules: never invent prices, dates or facts about clients; mark missing information as [NEED INFO]; keep client emails under 200 words unless I ask otherwise; suggest one clarifying question when my request is ambiguous. Count the characters and confirm the total.
Business brief: """"""[BUSINESS BRIEF]""""""
Voice profile: """"""[VOICE PROFILE]""""""",Two labeled blocks of plain text plus a character count.,"Test the instructions with one real task (e.g., LEAD-01) and tweak.","SET-01, SET-02"
SET-05,Setup & Foundations,Service menu clarifier,"Describe each of your services clearly, with who it's for, what's included, and what's not.",Before writing proposals or a services page; when clients keep misunderstanding what you offer.,[SERVICES]: rough notes on each service | [IDEAL CLIENT],"I'm a [PROFESSION] serving [IDEAL CLIENT]. Here are rough notes about my services: """"""[SERVICES]"""""". For each service, produce: a plain-language name; a one-sentence promise focused on the client's outcome; who it's for and not for; what's included (bullets); what's not included (bullets); typical timeline; what I need from the client. Keep prices exactly as I wrote them; if I didn't give a price, write [PRICE]. Then point out any overlaps or gaps between services that could confuse a buyer.","One block per service with consistent headings, then a short ""overlaps and gaps"" list.","Reuse the ""not included"" bullets in your proposals (PROP-06).","PROP-06, MKT-05"
SET-06,Setup & Foundations,Client FAQ builder,Build a set of answers to the questions clients ask again and again.,When you notice you're typing the same explanations; before creating an onboarding packet.,[REPEATED QUESTIONS]: questions clients often ask | [BUSINESS BRIEF],"Using my business brief """"""[BUSINESS BRIEF]"""""", draft clear answers to these frequently asked client questions: """"""[REPEATED QUESTIONS]"""""". For each: a direct answer in 2–4 sentences in my voice, any policy it depends on, and where the answer should live (proposal, welcome email, onboarding doc, website FAQ). If my brief doesn't contain the information needed, write [NEED INFO: what's missing] instead of guessing. Add up to 5 more questions clients in my field commonly ask that I haven't listed.","A table with columns Question, Answer, Depends on, Where it lives; then a list of suggested extra questions.",Paste the finished FAQ into your onboarding document and link it in your welcome email.,ONB-04
SET-07,Setup & Foundations,Communication policy writer,"Write a friendly, clear policy for response times, channels, meetings and feedback rounds.","Before onboarding new clients, or when boundaries have been slipping.","[WORKING HOURS] | [RESPONSE TIME] | [CHANNELS]: e.g., email for decisions, Slack for quick questions | [FEEDBACK ROUNDS]","Write a short ""How we'll work together"" section for my client onboarding materials. Details: working hours [WORKING HOURS]; typical response time [RESPONSE TIME]; channels [CHANNELS]; meetings [MEETING PREFERENCES]; feedback process [FEEDBACK ROUNDS]; urgent issues [HOW TO FLAG URGENT]. Make it warm and confident, not defensive. Explain the reason behind each norm in one short clause (e.g., ""so nothing gets lost""). Under 200 words, using bullets.","A heading plus 5–7 bullets, under 200 words.",Put this in your welcome email (ONB-01) and your onboarding document.,"ONB-01, ONB-04"
SET-08,Setup & Foundations,Tool stack audit,"Find overlapping or unused software and decide what to keep, replace or cancel.","Quarterly, or when subscription costs creep up.","[TOOL LIST]: tool, what I use it for, monthly cost, how often I use it","Here is the list of software tools I pay for or rely on in my one-person business: """"""[TOOL LIST]"""""". Analyze it and produce: (1) overlaps: tools doing the same job; (2) tools I barely use relative to their cost; (3) jobs that seem to have no tool or rely on manual work; (4) a recommendation for each tool: Keep, Downgrade, Replace with [free option I already have], or Cancel, with one-line reasoning. Don't recommend new paid tools unless a gap clearly justifies it, and say what the free alternative is. Finish with the total monthly cost before and after your recommendations, based only on the prices I gave.","Four short sections, then a table (Tool, Recommendation, Reason, Monthly cost), then before/after totals.",Check cancellation terms and data export before cancelling anything.,OPS-07
LEAD-01,Leads & Inquiries,Reply to a new inquiry,Answer a new inquiry quickly and qualify the lead.,"Within one business day of any new inquiry by email, form or DM.",[BUSINESS BRIEF] and [VOICE PROFILE] | [PASTE INQUIRY] | [BOOKING LINK],"Here is my business brief and voice profile: [PASTE]. A potential client sent this inquiry (redacted): """"""[PASTE INQUIRY]"""""". Draft a reply under 150 words that: thanks them and references one specific detail from their message; answers any direct question they asked (if I haven't given you the answer, write [NEED INFO] instead of guessing); asks the 2–3 most useful qualifying questions for my services; and ends with my booking link [BOOKING LINK]. Match my voice profile. Don't mention prices unless they asked and my brief includes them.","A ready-to-edit email with subject line, under 150 words.",Save your best version as an email template and only use AI for the personalized first two lines.,"LEAD-02, DISC-01"
LEAD-02,Leads & Inquiries,Lead fit scorecard,Decide quickly whether a lead is a good fit before investing time.,"When an inquiry is vague, oddly sized or outside your usual work.",[IDEAL CLIENT CRITERIA] | [LEAD INFO]: inquiry + anything you know,"My ideal client criteria: """"""[IDEAL CLIENT CRITERIA]"""""". Here's what I know about a new lead (redacted): """"""[LEAD INFO]"""""". Score the lead from 1–5 on: budget fit, timeline fit, scope fit, decision-maker access, and red flags (5 = no red flags). Explain each score in one line, quoting the evidence. Recommend one of: Book a call, Ask 2 questions first, Refer elsewhere, Politely decline. If there isn't enough information to score a criterion, say ""Unknown"" and give the question that would resolve it.","A 5-row table (Criterion, Score, Evidence) plus a one-line recommendation and up to 3 questions.","This is a thinking aid. You make the final call, and politeness costs nothing even when you decline.","LEAD-01, LEAD-06"
