captured_date,platform,search_query,listing_title,price_usd_shown,rating_shown,review_count_shown_shop_level,shop,bestseller_badge,notes
2026-09-24,Etsy,chatgpt prompts small business,"Claude AI Skill Pack | 1000 Skills for Small Business | Digital Products, Content Creation",14.67,4.9,8.3k,MoonHausStudio,yes,ad placement
2026-09-24,Etsy,chatgpt prompts small business,"100 AI Prompts for Etsy Sellers | ChatGPT Claude Gemini Prompt Pack",5.49,5,6,ThemindfullDesign,no,sale from 9.99
2026-09-24,Etsy,chatgpt prompts small business,"Ultimate Codex AI Bundle, 2500+ Codex Skills, 107 AI Agents",8.56,,,AgenticCurator,no,sale from 14.27
2026-09-24,Etsy,chatgpt prompts small business,"ChatGPT Prompts for Work & Business, 100 AI Productivity Tips",8.99,4.6,14,TopshelfAirt,no,
2026-09-24,Etsy,chatgpt prompts small business,"Small Business AI Marketing | Claude & ChatGPT Prompt Guide",5.24,4.9,8.3k,MoonHausStudio,yes,
2026-09-24,Etsy,chatgpt prompts small business,"ChatGPT Prompts for Small Business | 210+ AI Automation Templates",19.00,,,ClarityOffice,no,
2026-09-24,Etsy,chatgpt prompts small business,"16000+ AI Prompt for ChatGPT Prompt Bundle",0.20,3.8,22,OnlineShopAmerica,yes,bulk bundle
2026-09-24,Etsy,chatgpt prompts small business,"ChatGPT Claude AI Prompt Guide, Small Business Cheat Sheet Collection",9.99,,,BlueCoastWebServices,no,
2026-09-24,Etsy,chatgpt prompts small business,"70,000+ ChatGPT Prompts Mega Pack (PLR MRR)",1.80,4.1,15,YourDigiPedia,yes,sale from 6.00; resell rights
2026-09-24,Etsy,chatgpt prompts small business,"Money Making AI Prompts Bundle",1.99,4.5,21,RaiqaBee,no,sale from 7.96
2026-09-24,Etsy,chatgpt prompts small business,"15,000 ChatGPT Prompts",5.00,,,Boujeeandrich,no,
2026-09-24,Etsy,chatgpt prompts small business,"1000+ AI Prompts for Small Business | Searchable ChatGPT Prompt Library App",5.95,,,Hydranex,no,sale from 23.79
2026-09-24,Etsy,small business planner spreadsheet,"Small Business Bundle Bookkeeping Inventory Tracker Order Tracker...",14.79,4.7,11.2k,PrioriDigitalStudio,yes,
2026-09-24,Etsy,small business planner spreadsheet,"Small Business Bookkeeping Spreadsheet: Income & Expense Template for Google Sheets",14.40,4.9,555,AbbyOrganizes,no,
2026-09-24,Etsy,small business planner spreadsheet,"Small Business Bookkeeping Template Excel...",9.95,4.8,12.7k,TheWeeklyCrew,no,
2026-09-24,Etsy,small business planner spreadsheet,"Small Business Spreadsheet Template for Google | Client Tracker...",3.46,4.8,1.9k,DigitalDoodlesToday,no,
