Day,Campaign month,Channel,Type,ID,Title / concept,Hook,Link,CTA,Caption / post text,Hashtags,Graphic,Status
31,Month 2: Product launch,LinkedIn,Educational post,P-E01,Why prompt packs disappoint,,,,"Why do big prompt packs disappoint?

Because a one-line prompt can't know:
→ what you're asking it to do (objective)
→ when it applies (use case)
→ what you'll paste in (inputs)
→ what ""good"" looks like (output format)
→ what it must never do (guardrails)

A useful prompt specifies all five. It's longer, but you use it again and again.

I'm launching a 100-prompt library built this way next week. Here's one of them for free, the business brief builder: [link to starter kit]",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,,Draft
31,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V01,"Behind the build: why a system, not a prompt pack","I could have made a 10,000-prompt pack. Here's why I didn't.",/bundle/,Follow for the build,"Why the Band of One products are a system, not a 10,000-prompt pack. Launching next week. I'll show you what's inside every day until then.",#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/video_covers/P-V01.png,Draft
32,Month 2: Product launch,Instagram,Educational post (carousel),P-E02,Anatomy of a prompt card,,,,Every prompt in The Band of One Prompt Library follows this format. The library launches next week; 10 prompts are free in the starter kit now (link in bio).,#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/carousels/P-E02_01.png,Draft
32,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V02,The Client Desk dashboard tour,This is what my Monday morning admin check looks like: one screen.,/bundle/,Launching next week,"A tour of The Client Desk dashboard (fictional sample data): next actions, invoices needing a reminder, pipeline, weekly numbers. Excel + Google Sheets, no macros. Launching next week.",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,graphics/video_covers/P-V02.png,Draft
33,Month 2: Product launch,LinkedIn,Educational post,P-E03,The one-screen admin check,,,,"A solo business needs one screen that answers:

1. Who needs a follow-up this week?
2. Which invoices need a reminder, and which one?
3. What's in the pipeline, by stage?
4. How did this week go?

You can build this in any spreadsheet with a few formulas (our free invoice tracker shows how).

The Client Desk, launching next week, has it built and tested: a Dashboard tab calculated from your client, project and invoice tabs. It works in Excel and Google Sheets, with no macros.",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,,Draft
33,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V03,Anatomy of one prompt card,Here's what a fully specified AI prompt looks like.,/bundle/,Launching next week,"Anatomy of a prompt card from The Band of One Prompt Library: objective, when to use, inputs, guardrails, output format. That's one of 100. Launching next week.",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/video_covers/P-V03.png,Draft
34,Month 2: Product launch,Instagram,Educational post (carousel),P-E04,The admin audit in 5 steps,,,,This is Chapter 2 of The Solo Admin Playbook. You can do it on paper today for free.,#systemsthinking #SOP #productivitytips #solopreneur #businesssystems,graphics/carousels/P-E04_01.png,Draft
34,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V04,The admin audit worksheet,"Before you fix your admin, find out where the time actually goes.",/blog/what-to-automate-first/,"Try it free, then the playbook launches next week",The admin audit from Chapter 2 of The Solo Admin Playbook. Score your tasks and fix the biggest one first. You can do it for free today; the formula's in the video.,#systemsthinking #SOP #productivitytips #solopreneur #businesssystems,graphics/video_covers/P-V04.png,Draft
35,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V05,Reminder stages in the spreadsheet,My spreadsheet tells me which payment reminder to send. Here's how.,/bundle/,Launching next week,How The Client Desk works out which payment reminder is due (A–E) and whether you've sent it. Formulas tested before release; timing adjustable in Settings. Launching next week.,#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,graphics/video_covers/P-V05.png,Draft
36,Month 2: Product launch,LinkedIn,Educational post,P-E05,Five decisions for every admin task,,,,"Every recurring admin task gets one of five decisions:

ELIMINATE: nobody would notice if you stopped
TEMPLATE: it's nearly identical every time
AI DRAFT: the structure repeats, the content changes
AUTOMATE: rule-based, frequent, low-risk and already templated
KEEP HUMAN: high risk, high judgment or relationship-critical

Notice automation comes after templating. If you can't write it as a checklist, you're not ready to automate it.

(From The Solo Admin Playbook, Chapter 2.)",#systemsthinking #SOP #productivitytips #solopreneur #businesssystems,,Draft
36,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V06,3 free prompts from the library,"Three prompts from the library you can use today, free.",/newsletter/,Free starter kit: link in bio,"Three prompts from The Band of One Prompt Library you can use free today: business brief builder, new-inquiry reply, call notes → summary. All in the free starter kit (link in bio).",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/video_covers/P-V06.png,Draft
37,Month 2: Product launch,LinkedIn + Instagram,Promotional post,P-P01,Launching tomorrow,,,,"Tomorrow: the Band of One products go on sale.

• The Solo Admin Playbook: $24
• The Client Desk: $29
• The Band of One Prompt Library: $19
• All three (Complete Bundle): $49

Launch code FOUNDING takes $10 off the bundle ($5 off the playbook or desk, $4 off the library) until [LAUNCH END DATE]. 14-day refund policy.",#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/promo_cards/P-P01.png,Draft
37,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V07,"Launch tomorrow: what, price, how",Tomorrow the Band of One products go on sale. Here's exactly what they cost.,/bundle/,Opens tomorrow: link in bio,"Launching tomorrow: The Solo Admin Playbook ($24), The Client Desk ($29), The Prompt Library ($19) or all three for $49. Code FOUNDING until [LAUNCH END DATE]. 14-day refund policy.",#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/video_covers/P-V07.png,Draft
38,Month 2: Product launch,LinkedIn + Instagram,Promotional post,P-P02,It's live,,,,"It's live.

The Band of One Complete Bundle: the playbook (how), The Client Desk (where) and 100 prompts (what to say), built as one admin system for a business of one.

$49 ($72 separately). Code FOUNDING until [LAUNCH END DATE]. 14-day refund policy.

[STORE LINK]",#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/promo_cards/P-P02.png,Draft
38,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V08,It's live,The Band of One bundle is live.,/bundle/,Link in bio,"It's live: The Band of One Complete Bundle, with the playbook, The Client Desk workbook and the 100-prompt library, built to work together. Code FOUNDING until [LAUNCH END DATE].",#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/video_covers/P-V08.png,Draft
39,Month 2: Product launch,Instagram,Educational post (carousel),P-E06,What AI is good and bad at (client work),,,,From Chapter 3 of The Solo Admin Playbook: using AI safely with client work.,#systemsthinking #SOP #productivitytips #solopreneur #businesssystems,graphics/carousels/P-E06_01.png,Draft
39,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V09,Inside the playbook in 45 seconds,"Thirty-eight pages, flipped through in forty-five seconds.",/bundle/,Link in bio,"The Solo Admin Playbook in 45 seconds: admin audit, safe AI setup, six client workflows with templates and prompts, SOPs and the weekly review. PDF + editable DOCX.",#systemsthinking #SOP #productivitytips #solopreneur #businesssystems,graphics/video_covers/P-V09.png,Draft
40,Month 2: Product launch,Instagram,Promotional post,P-P03,Prompt Library spotlight,,,,"100 prompts, each doing one job: objective, inputs, guardrails, output format. PDF + searchable spreadsheet + Notion-ready CSV. $19 (code FOUNDING until [LAUNCH END DATE]). Link in bio.",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/promo_cards/P-P03.png,Draft
40,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V10,Search the library by keyword,I typed 'scope' and found the right prompt in two seconds.,/bundle/,Link in bio,"The Prompt Library's spreadsheet version has a Search tab: type 'scope', 'invoice' or 'delay' and get the matching prompts. Plus favorites, notes and a Notion-ready CSV.",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/video_covers/P-V10.png,Draft
41,Month 2: Product launch,LinkedIn,Educational post,P-E07,Prompt: responding to a discount request,,,,"""Can you do it cheaper?""

A prompt for replying without an apology spiral:

""A client asked for a lower price: [REQUEST]. Draft a reply that acknowledges their budget, restates the value tied to their goals, and offers these options only: [MY OPTIONS]. If I've chosen not to reduce the price, say so kindly and clearly. Under 150 words, confident, no apology spiral, in my voice [VOICE PROFILE].""

You decide the options (smaller scope? phased start?). The AI only handles the wording.

(HARD-01, from the Tough Conversations section of The Band of One Prompt Library.)",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,,Draft
41,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V11,Setting up The Client Desk in 10 minutes,From download to your first client in about ten minutes.,/bundle/,Link in bio,"Setting up The Client Desk: open, fill in Settings, clear the sample rows, add a client. About ten minutes, and there's a 13-page user guide if you get stuck.",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,graphics/video_covers/P-V11.png,Draft
42,Month 2: Product launch,LinkedIn,Promotional post,P-P04,Client Desk spotlight,,,,"The Client Desk: one spreadsheet for clients, projects, invoices and payment reminders, with a dashboard of what needs attention this week.

✓ Excel, Google Sheets, LibreOffice (no macros)
✓ Reminder stages A–E calculated for every invoice
✓ Formulas tested before release
✓ Sample business + 13-page guide

$29 (code FOUNDING until [LAUNCH END DATE]). [STORE LINK]",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,graphics/promo_cards/P-P04.png,Draft
42,Month 2: Product launch,TikTok / Reels / Shorts (+ LinkedIn native),Short video,P-V12,Prompt demo: discount request,"A client asks, 'Can you do it cheaper?' Here's the prompt I use.",/bundle/,It's in the library: link in bio,'Can you do it cheaper?' Prompt HARD-01 drafts a confident reply that offers only the options you choose. From the Tough Conversations section of The Band of One Prompt Library.,#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/video_covers/P-V12.png,Draft
43,Month 2: Product launch,Instagram,Educational post (carousel),P-E08,"One system, three tools",,,,Designed as one system. Buy one or all three. Details at the link in bio.,#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/carousels/P-E08_01.png,Draft
