Day,Campaign month,Channel,Type,ID,Title / concept,Hook,Link,CTA,Caption / post text,Hashtags,Graphic,Status
1,Month 1: Content,LinkedIn,Educational post,C-E01,The onboarding checklist,,/blog/client-onboarding-checklist/,,"Most client problems start in week one, not week ten.

A 7-step onboarding checklist that prevents most of them:

1. Proposal accepted in writing
2. Agreement signed (scope, exclusions, payment terms, revisions)
3. Deposit invoice sent. Work starts when it clears
4. Welcome email with numbered next steps
5. Intake form instead of 20 questions by email
6. Communication norms agreed: where, when, how fast
7. Kickoff call with an agenda, plus a written summary the same day

Same steps, same order, every client. After three clients you'll know which questions to add to your form.

Full checklist + free tools: [link]",#freelancetips #clientexperience #smallbusinesstips #solopreneur #consultantlife,,Draft
1,Month 1: Content,TikTok / Reels / Shorts (+ LinkedIn native),Short video,C-V01,The 30-minute onboarding checklist,"Most client problems start in the first week, not the last.",/blog/client-onboarding-checklist/,Full checklist + free tools: link in bio,"Most client problems start in week one. Here's the 7-step onboarding checklist I'd give every freelancer: same steps, same order, every client. Full checklist + free tools at the link in bio.",#freelancetips #clientexperience #smallbusinesstips #solopreneur #consultantlife,graphics/video_covers/C-V01.png,Draft
2,Month 1: Content,LinkedIn + Instagram,Promotional post,C-P01,Free starter kit launch,,/newsletter/,,"New and free: the Client Admin Starter Kit.

10 AI prompts for the admin you do every week (inquiry replies, call summaries, proposals, welcome emails, weekly updates, scope changes, payment reminders, testimonial requests), plus a printable 30-minute weekly review checklist.

Works with free AI plans. Get it here: [link]",#bandofone #solopreneur #freelancer #virtualassistant #consultant,graphics/promo_cards/C-P01.png,Draft
2,Month 1: Content,TikTok / Reels / Shorts (+ LinkedIn native),Short video,C-V02,Never paste these into ChatGPT,"Five things that should never go into an AI chat, even for client work.",/blog/client-data-privacy-ai/,Privacy routine + settings: link in bio,"Using AI for client emails? Five things that never go in the chat, plus the 5-second redaction habit for everything else. The settings for ChatGPT, Claude and Gemini are in the full guide (link in bio).",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/video_covers/C-V02.png,Draft
3,Month 1: Content,Instagram,Educational post (carousel),C-E02,5 things never to paste into AI,,/blog/client-data-privacy-ai/,,"Save this for the next time you're about to paste an email thread into an AI chat. The redaction habit takes five seconds, and the full privacy routine (with where to find the ChatGPT, Claude and Gemini settings) is at the link in bio.",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/carousels/C-E02_01.png,Draft
3,Month 1: Content,TikTok / Reels / Shorts (+ LinkedIn native),Short video,C-V03,The 5-stage payment reminder schedule,Chasing invoices feels personal because you haven't decided the schedule in advance.,/blog/payment-reminder-schedule/,All 5 templates: link in bio,"Chasing invoices gets easier when the schedule is decided in advance. Five stages, five templates, from a friendly heads-up to a final notice. Link in bio.",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,graphics/video_covers/C-V03.png,Draft
4,Month 1: Content,TikTok / Reels / Shorts (+ LinkedIn native),Short video,C-V04,Why your AI emails sound generic,Your AI emails sound generic because the AI knows nothing about your business.,/blog/ai-business-brief/,Interview prompt: link in bio,"If your AI drafts sound generic, it's usually missing context, not a better prompt. Build a one-page business brief once (the interview prompt is in the link in bio) and every draft starts from your reality.",#AItools #ChatGPTtips #AIforBusiness #promptengineering #freelancetips,graphics/video_covers/C-V04.png,Draft
5,Month 1: Content,LinkedIn,Educational post,C-E03,"Payment reminders, decided once",,/blog/payment-reminder-schedule/,,"Chasing invoices feels personal because most of us decide what to do each time.

Decide once:

A: 3 days before due: friendly heads-up (catches wrong-inbox problems)
B: due date: short reminder
C: +7 days: ""anything holding it up?""
D: +14 days: ask for a payment date in writing
E: +30 days: final notice, stating only what's in your agreement

It matters: in Bonsai's data from 100,000+ freelancers, 29% of invoices were paid at least a day late (Bonsai, updated Jan 2026).

Templates for all five stages: [link]",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,,Draft
5,Month 1: Content,TikTok / Reels / Shorts (+ LinkedIn native),Short video,C-V05,The weekly client update in 4 headings,Clients chase you when they don't know what's happening.,/blog/weekly-client-update-template/,Template + AI prompt: link in bio,"The five-minute weekly client update: four headings, same day every week. 'Needed from you (with dates)' is the line that does the heavy lifting. Template + AI prompt at the link in bio.",#freelancetips #clientexperience #smallbusinesstips #solopreneur #consultantlife,graphics/video_covers/C-V05.png,Draft
6,Month 1: Content,LinkedIn + Instagram,Promotional post,C-P02,Free invoice tracker,,/blog/track-invoices-in-a-spreadsheet/,,"Free download: a small spreadsheet that tells you which payment reminder to send (A–E) for every invoice.

Tested against eight scenarios before we published it. Works in Google Sheets and Excel. No sign-up needed.

Formulas explained + download: [link]",#freelancebusiness #invoicing #smallbusinessowner #getpaid #solopreneur,graphics/promo_cards/C-P02.png,Draft
